JnlTitle,Publisher,PubCountry,Fee,WaiverPolicy,Identifiers,FirstYear,Language,ReviewProcess,Plagiarism,Sub2Pub,JnlLicense,AuthorCopyright,DOAJ_Seal
Materials,MDPI AG,Switzerland,Yes,NA,DOI,2008,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Forests,MDPI AG,Switzerland,Yes,NA,DOI,2010,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Viruses,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Future Internet,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
European Journal of Psychotraumatology,Taylor & Francis Group,United Kingdom,Yes,Yes,DOI,2010,English,Double blind peer review,Yes,18,CC BY,TRUE,Yes
Clinical and Translational Medicine,Springer,United Kingdom,Yes,Yes,DOI,2012,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Rural Landscapes: Society Environment History,Stockholm University Press,Sweden,Yes,Yes,DOI,2014,English,Double blind peer review,Yes,20,CC BY,TRUE,Yes
Scandinavian Journal of Work and Organizational Psychology,Stockholm University Press,Sweden,No,NA,DOI,2016,English,Double blind peer review,Yes,11,CC BY,TRUE,Yes
Mathematical Sciences,Springer,Germany,No,NA,DOI,2012,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
International Journal of Advanced Structural Engineering,Springer,"Iran, Islamic Republic of",No,Yes,DOI,2012,English,Peer review,Yes,13,CC BY,TRUE,Yes
International Aquatic Research,Springer,Germany,No,NA,DOI,2009,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
International Journal of Energy and Environmental Engineering,Springer,Germany,No,NA,DOI,2012,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Journal of Nanostructure in Chemistry,Springer,Germany,No,NA,DOI,2012,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Orthopedic Reviews,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Neurology International,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Aisthesis,Firenze University Press,Italy,No,NA,DOI,2008,"English, Italian",Double blind peer review,NA,10,CC BY,TRUE,Yes
Confluenze,University of Bologna,Italy,No,NA,DOI,2009,"Italian, Portuguese, Spanish; Castilian",Double blind peer review,NA,24,CC BY,TRUE,Yes
Danza e Ricerca,University of Bologna,Italy,No,NA,DOI,2009,Italian,Double blind peer review,NA,15,CC BY-NC,TRUE,Yes
In_Bo,University of Bologna,Italy,No,NA,DOI,2008,"English, Italian",Double blind peer review,NA,15,CC BY-NC,TRUE,Yes
Critical Ultrasound Journal,Springer,Italy,Yes,Yes,DOI,2012,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Almatourism,University of Bologna,Italy,No,NA,DOI,2009,"English, Italian",Double blind peer review,NA,16,CC BY,TRUE,Yes
Dermatology Reports,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Gastroenterology Insights,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Infectious Disease Reports,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Mental Illness,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Pediatric Reports,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Rheumatology Reports,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
European Journal of Translational Myology,PAGEPress Publications,Italy,Yes,NA,DOI,2010,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
JLIS.it,University of Florence,Italy,No,NA,"DOI, NBN",2010,"English, Italian",Double blind peer review,NA,12,CC BY,TRUE,Yes
PsicoArt,University of Bologna,Italy,No,NA,DOI,2010,"English, Italian",Double blind peer review,NA,10,CC BY,TRUE,Yes
Hematology Reports,PAGEPress Publications,Italy,Yes,Yes,DOI,2009,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Veterinary Science Development,PAGEPress Publications,Italy,Yes,Yes,DOI,2011,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Journal of Public Health in Africa,PAGEPress Publications,Italy,Yes,Yes,DOI,2010,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Antropologia e Teatro,University of Bologna,Italy,No,NA,DOI,2010,"English, Italian",Double blind peer review,NA,12,CC BY,TRUE,Yes
Audiology Research,PAGEPress Publications,Italy,Yes,Yes,DOI,2011,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Rivista Internazionale di Filosofia e Psicologia,"Mimesis Edizioni, Milano",Italy,No,NA,DOI,2010,"English, German, Italian",Double blind peer review,NA,20,CC BY,TRUE,Yes
Journal of Xenobiotics,PAGEPress Publications,Italy,Yes,Yes,DOI,2011,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Between,Università degli Studi di Cagliari,Italy,No,NA,DOI,2011,"English, French, Italian",Double blind peer review,NA,20,CC BY,TRUE,Yes
Clinics and Practice,PAGEPress Publications,Italy,Yes,Yes,DOI,2011,English,Blind peer review,Yes,10,CC BY-NC,TRUE,Yes
Musica Docta,University of Bologna,Italy,No,NA,DOI,2011,"English, French, German, Italian, Spanish; Castilian",Double blind peer review,NA,50,CC BY-SA,TRUE,Yes
EQA,University of Bologna,Italy,No,NA,DOI,2009,English,Peer review,NA,12,CC BY-NC,TRUE,Yes
Teaching in Lifelong Learning: A Journal to Inform and Improve Practice,University of Huddersfield Press,United Kingdom,No,NA,DOI,2011,English,Peer review,NA,12,CC BY,TRUE,Yes
Journal of Healthcare Engineering,Hindawi Limited,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,32,CC BY,TRUE,Yes
Molecular Autism,BioMed Central,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Journal of Biomedical Semantics,BioMed Central,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,30,CC BY,TRUE,Yes
i-Perception,SAGE Publishing,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Pastoralism,Springer,Germany,Yes,Yes,DOI,2011,English,Double blind peer review,Yes,13,CC BY,TRUE,Yes
EvoDevo,BioMed Central,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Journal of Art Historiography,"Department of Art History, University of Birmingham",United Kingdom,No,NA,Handles,2009,English,Peer review,NA,30,CC BY-NC,TRUE,Yes
Ancient Asia,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2006,English,Peer review,Yes,18,CC BY,TRUE,Yes
Biology of Sex Differences,BioMed Central,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Skeletal Muscle,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Flavour,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Blind peer review,Yes,9,CC BY,TRUE,Yes
Clinical Sarcoma Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Cell & Bioscience,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
Israel Journal of Health Policy Research,BioMed Central,United Kingdom,No,NA,DOI,2012,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
C21 Literature: Journal of 21st-century Writings,Open Library of Humanities,United Kingdom,No,NA,DOI,2016,English,Double blind peer review,Yes,15,CC BY,TRUE,Yes
Clinical and Translational Allergy,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Chiropractic & Manual Therapies,BioMed Central,United Kingdom,No,Yes,DOI,2011,English,Blind peer review,Yes,20,CC BY,TRUE,Yes
Fluids and Barriers of the CNS,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Irish Veterinary Journal,BioMed Central,United Kingdom,Yes,Yes,DOI,2004,English,Blind peer review,Yes,21,CC BY,TRUE,Yes
BMC Biophysics,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Cilia,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
Systematic Reviews,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Open peer review,Yes,11,CC BY,TRUE,Yes
Perioperative Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Environmental Evidence,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Orbit : Writing Around Pynchon,Open Library of Humanities,United Kingdom,No,NA,DOI,2012,English,Double blind peer review,Yes,14,CC BY,TRUE,Yes
Journal of Global Health,Edinburgh University Global Health Society,United Kingdom,Yes,Yes,DOI,2011,English,Blind peer review,NA,6,CC BY,TRUE,Yes
Antimicrobial Resistance and Infection Control,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
European Journal of Medical Research,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Blind peer review,Yes,18,CC BY,TRUE,Yes
Translational Neurodegeneration,BioMed Central,United Kingdom,No,NA,DOI,2012,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
The Comics Grid: Journal of Comics Scholarship,Open Library of Humanities,United Kingdom,No,NA,DOI,2011,English,Open peer review,Yes,20,CC BY,TRUE,Yes
Agriculture & Food Security,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Insights: The UKSG Journal ,Ubiquity Press,United Kingdom,No,NA,DOI,2012,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Journal of Open Archaeology Data,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2012,English,Peer review,Yes,21,CC BY,TRUE,Yes
Microbiome,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Peer review,Yes,4,CC BY,TRUE,Yes
Cancer & Metabolism,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,14,CC BY,TRUE,Yes
Archives of Public Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2011,English,Open peer review,Yes,16,CC BY,TRUE,Yes
Journal of Conservation and Museum Studies,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2011,English,Double blind peer review,Yes,32,CC BY,TRUE,Yes
Multidisciplinary Respiratory Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2010,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
Journal of Open Research Software,Ubiquity Press,United Kingdom,Yes,NA,DOI,2013,English,Peer review,Yes,21,CC BY,TRUE,Yes
eLife,eLife Sciences Publications Ltd,United Kingdom,Yes,Yes,DOI,2013,English,Peer review,NA,17,CC BY,TRUE,Yes
BioDiscovery,Pensoft Publishers,Bulgaria,Yes,Yes,DOI,2012,English,Peer review,NA,12,CC BY,TRUE,Yes
Journal of Eating Disorders,BioMed Central,United Kingdom,Yes,NA,DOI,2013,English,Blind peer review,Yes,16,CC BY,TRUE,Yes
Animal Biotelemetry,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
Regenerative Medicine Research,EDP Sciences,France,Yes,Yes,DOI,2013,English,Blind peer review,Yes,6,CC BY,TRUE,Yes
Journal of Therapeutic Ultrasound,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,9,CC BY,TRUE,Yes
Architectural Histories,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2013,English,Peer review,Yes,21,CC BY,TRUE,Yes
BMC Pharmacology and Toxicology,BioMed Central,United Kingdom,Yes,Yes,DOI,2012,English,Open peer review,Yes,12,CC BY,TRUE,Yes
BMC Psychology,BioMed Central,United Kingdom,Yes,NA,DOI,2013,English,Open peer review,Yes,24,CC BY,TRUE,Yes
Heritage Science,Springer,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
Biomarker Research,BioMed Central,United Kingdom,Yes,NA,DOI,2013,English,Peer review,Yes,13,CC BY,TRUE,Yes
Journal of Open Psychology Data,Ubiquity Press,United Kingdom,Yes,NA,DOI,2013,English,Open peer review,Yes,13,CC BY,TRUE,Yes
Journal for ImmunoTherapy of Cancer,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Blind peer review,Yes,8,CC BY,TRUE,Yes
Movement Ecology,BioMed Central,United Kingdom,Yes,NA,DOI,2014,English,Blind peer review,Yes,23,CC BY,TRUE,Yes
Basic and Clinical Andrology,BioMed Central,United Kingdom,Yes,NA,DOI,2013,English,Peer review,Yes,22,CC BY,TRUE,Yes
Acta Neuropathologica Communications,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Peer review,Yes,8,CC BY,TRUE,Yes
Journal of Intensive Care,BioMed Central,United Kingdom,No,NA,DOI,2013,English,Blind peer review,Yes,15,CC BY,TRUE,Yes
BMC Hematology,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Open peer review,Yes,25,CC BY,TRUE,Yes
"BMC Sports Science, Medicine and Rehabilitation",BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Open peer review,Yes,26,CC BY,TRUE,Yes
IUCrJ,International Union of Crystallography,United Kingdom,Yes,NA,DOI,2014,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
Journal of Pharmaceutical Policy and Practice,BioMed Central,United Kingdom,Yes,Yes,DOI,2014,English,Peer review,Yes,14,CC BY,TRUE,Yes
Journal of Environmental Health Science and Engineering,BioMed Central,United Kingdom,Yes,NA,DOI,2013,English,Blind peer review,Yes,25,CC BY,TRUE,Yes
Annals of Occupational and Environmental Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2013,English,Double blind peer review,Yes,16,CC BY,TRUE,Yes
Canine Genetics and Epidemiology,BioMed Central,United Kingdom,Yes,NA,DOI,2014,English,Peer review,Yes,13,CC BY,TRUE,Yes
Molecular and Cellular Therapies,BioMed Central,United Kingdom,Yes,Yes,DOI,2014,English,Peer review,Yes,13,CC BY,TRUE,Yes
BMC Obesity,BioMed Central,United Kingdom,Yes,NA,DOI,2014,English,Open peer review,Yes,12,CC BY,TRUE,Yes
Journal of Compassionate Health Care,BioMed Central,United Kingdom,Yes,Yes,DOI,2014,English,Peer review,Yes,13,CC BY,TRUE,Yes
JMM Case Reports,Society for General Microbiology,United Kingdom,Yes,Yes,DOI,2014,English,Blind peer review,NA,6,CC BY,TRUE,Yes
Utrecht Journal of International and European Law,Ubiquity Press,United Kingdom,No,NA,DOI,2013,English,Double blind peer review,Yes,11,CC BY,TRUE,Yes
Secularism and Nonreligion,Ubiquity Press,United Kingdom,Yes,NA,DOI,2012,English,Double blind peer review,Yes,9,CC BY,TRUE,Yes
Gynecologic Oncology Research and Practice,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,9,CC BY,TRUE,Yes
Cerebellum & Ataxias,BioMed Central,United Kingdom,Yes,NA,DOI,2014,English,Peer review,Yes,13,CC BY,TRUE,Yes
Women's Midlife Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,7,CC BY,TRUE,Yes
Fungal Biology and Biotechnology,BioMed Central,United Kingdom,Yes,Yes,DOI,2014,English,Peer review,Yes,9,CC BY,TRUE,Yes
Disaster and Military Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,16,CC BY,TRUE,Yes
Asthma Research and Practice,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,20,CC BY,TRUE,Yes
Fertility Research and Practice,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,8,CC BY,TRUE,Yes
Open Health Data,Ubiquity Press,United Kingdom,Yes,NA,DOI,2013,English,Peer review,Yes,10,CC BY,TRUE,Yes
"Maternal Health, Neonatology and Perinatology",BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,12,CC BY,TRUE,Yes
Journal of Pharmaceutical Health Care and Sciences,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,8,CC BY,TRUE,Yes
Journal of Animal Science and Technology,BioMed Central,United Kingdom,No,NA,DOI,2014,English,Blind peer review,Yes,7,CC BY,TRUE,Yes
BMC Nutrition,BioMed Central,United Kingdom,Yes,Yes,DOI,2014,English,Open peer review,Yes,15,CC BY,TRUE,Yes
"Tropical Diseases, Travel Medicine and Vaccines",BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Blind peer review,Yes,17,CC BY,TRUE,Yes
Open Quaternary,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2015,English,Double blind peer review,Yes,19,CC BY,TRUE,Yes
Porcine Health Management,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,14,CC BY,TRUE,Yes
Pilot and Feasibility Studies,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Open peer review,Yes,9,CC BY,TRUE,Yes
Neurovascular Imaging,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Double blind peer review,Yes,6,CC BY,TRUE,Yes
Journal of Tourism Futures,Emerald,United Kingdom,No,NA,DOI,2015,English,Double blind peer review,Yes,34,CC BY,TRUE,Yes
Biomaterials Research,BioMed Central,United Kingdom,Yes,NA,DOI,2014,English,Peer review,Yes,7,CC BY,TRUE,Yes
BJR|case reports,British Institute of Radiology,United Kingdom,Yes,Yes,DOI,2016,English,Double blind peer review,Yes,11,CC BY,TRUE,Yes
Contraception and Reproductive Medicine,BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Clinical Diabetes and Endocrinology,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,8,CC BY,TRUE,Yes
Zoological Letters,BioMed Central,United Kingdom,No,Yes,DOI,2015,English,Double blind peer review,Yes,10,CC BY,TRUE,Yes
BMC Zoology,BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,24,CC BY,TRUE,Yes
Open Journal of Bioresources,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2014,English,Peer review,Yes,14,CC BY,TRUE,Yes
Clinical Hypertension,BioMed Central,United Kingdom,No,NA,DOI,2014,English,Peer review,Yes,6,CC BY,TRUE,Yes
Safety in Health,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,7,CC BY,TRUE,Yes
Multiple Sclerosis and Demyelinating Disorders,BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Peer review,Yes,29,CC BY,TRUE,Yes
Open Library of Humanities,Open Library of Humanities,United Kingdom,No,NA,DOI,2015,English,Double blind peer review,Yes,15,CC BY-NC-ND,TRUE,Yes
Journal of Congenital Cardiology,BioMed Central,United Kingdom,Yes,Yes,DOI,2017,English,Blind peer review,Yes,53,CC BY,TRUE,Yes
Research Involvement and Engagement,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Open peer review,Yes,16,CC BY,TRUE,Yes
npj Science of Learning,Nature Publishing Group,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,9,CC BY,TRUE,Yes
Acta Crystallographica Section E: Crystallographic Communications,International Union of Crystallography,United Kingdom,Yes,Yes,DOI,2008,English,Blind peer review,Yes,3,CC BY,TRUE,Yes
Archives of Physiotherapy,BioMed Central,United Kingdom,No,Yes,DOI,2015,English,Blind peer review,Yes,10,CC BY,TRUE,Yes
Cardio-Oncology,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Blind peer review,Yes,7,CC BY,TRUE,Yes
Chinese Neurosurgical Journal,BioMed Central,United Kingdom,No,Yes,DOI,2015,English,Blind peer review,NA,10,CC BY,TRUE,Yes
Citizen Science: Theory and Practice,Ubiquity Press,United Kingdom,Yes,Yes,DOI,2016,English,Double blind peer review,Yes,45,CC BY,TRUE,Yes
Performance Philosophy,Performance Philosophy,United Kingdom,No,NA,DOI,2015,English,Double blind peer review,NA,30,CC BY-NC-SA,TRUE,Yes
British Art Studies,Yale University,United Kingdom,No,NA,DOI,2015,English,Blind peer review,NA,24,CC BY-NC,TRUE,Yes
Big Data Analytics,BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,5,CC BY,TRUE,Yes
Research Integrity and Peer Review,BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Open peer review,Yes,5,CC BY,TRUE,Yes
npj Vaccines,Nature Publishing Group,United States,Yes,Yes,DOI,2016,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Advances in Simulation,BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Blind peer review,Yes,12,CC BY,TRUE,Yes
Renal Replacement Therapy,BioMed Central,United Kingdom,No,NA,DOI,2015,English,Blind peer review,Yes,19,CC BY,TRUE,Yes
"Hepatology, Medicine and Policy",BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,13,CC BY,TRUE,Yes
Cancers of the Head & Neck,BioMed Central,United Kingdom,Yes,Yes,DOI,2016,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Sustainability,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
African Journal of Primary Health Care & Family Medicine,AOSIS,South Africa,Yes,Yes,DOI,2009,"English, French",Double blind peer review,Yes,15,CC BY,TRUE,Yes
"Journal of Health, Population and Nutrition",BioMed Central,United Kingdom,Yes,Yes,DOI,2015,English,Peer review,Yes,10,CC BY,TRUE,Yes
Remote Sensing,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Toxins,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Micromachines,MDPI AG,Switzerland,Yes,NA,DOI,2010,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Cancers,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Computers,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Games,MDPI AG,Switzerland,Yes,NA,DOI,2010,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Catalysts,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Crystals,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Polymers,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Agronomy ,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Cells,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Genes,MDPI AG,Switzerland,Yes,NA,DOI,2010,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Atmosphere,MDPI AG,Switzerland,Yes,NA,DOI,2010,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Water,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Land,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Antibodies,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Symmetry,MDPI AG,Switzerland,Yes,NA,DOI,2009,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Axioms,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Machines,MDPI AG,Switzerland,Yes,NA,DOI,2013,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Life,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Diagnostics,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Journal of Personalized Medicine,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Lubricants,MDPI AG,Switzerland,Yes,NA,DOI,2013,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Insects,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Sports,MDPI AG,Switzerland,Yes,NA,DOI,2013,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Societies,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Metals,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Laws,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Buildings,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Arts,MDPI AG,Switzerland,No,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Social Sciences,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Humanities,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Pathogens,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Actuators,MDPI AG,Switzerland,No,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Trudy Odesskogo Politehničeskogo Universiteta,Odessa National Polytechnic University,Ukraine,Yes,Yes,DOI,2006,"English, Russian, Ukrainian",Peer review,Yes,12,CC BY,TRUE,Yes
Microorganisms,MDPI AG,Switzerland,Yes,NA,DOI,2013,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Animals,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Geosciences,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Medical Sciences,MDPI AG,Switzerland,No,NA,DOI,2013,English,Blind peer review,Yes,6,CC BY,TRUE,Yes
Behavioral Sciences,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Administrative Sciences,MDPI AG,Switzerland,No,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Brain Sciences,MDPI AG,Switzerland,Yes,NA,DOI,2011,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Microarrays,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
Antioxidants,MDPI AG,Switzerland,Yes,NA,DOI,2012,English,Blind peer review,Yes,11,CC BY,TRUE,Yes
